Index,Entity,Very_comfortable
0,Africa,31.021803
1,Albania,25.491678
2,Algeria,31.641382
3,Argentina,26.543772
4,Asia,24.826124
5,Australia,7.19499
6,Austria,47.740067
7,Bahrain,43.191044
8,Bangladesh,26.184614
9,Belgium,11.0023155
10,Benin,12.114276
11,Bolivia,19.951153
12,Bosnia and Herzegovina,12.805407
13,Brazil,27.168146
14,Bulgaria,19.051838
15,Burkina Faso,26.533657
16,Cambodia,15.366249
17,Cameroon,20.092508
18,Canada,8.873781
19,Chile,24.403812
20,China,10.248862
21,Colombia,21.957514
22,Congo,27.280973
23,Costa Rica,25.011768
24,Cote d'Ivoire,22.773167
25,Croatia,20.000946
26,Cyprus,10.929355
27,Czechia,13.284608
28,Denmark,15.279755
29,Dominican Republic,22.711874
30,Ecuador,21.694708
31,Egypt,56.098743
32,El Salvador,22.299795
33,Estonia,4.61636
34,Ethiopia,44.583668
35,Europe,19.050577
36,Finland,6.6289506
37,France,12.134365
38,Gabon,25.64844
39,Georgia,21.63062
40,Germany,49.547153
41,Ghana,14.284058
42,Greece,8.805214
43,Guinea,20.85
44,High-income countries,15.034522
45,Hong Kong,6.4663973
46,Hungary,16.0622
47,India,42.248962
48,Indonesia,26.980623
49,Iran,28.924173
50,Iraq,58.25895
51,Ireland,9.812321
52,Israel,11.779242
53,Italy,21.366873
54,Japan,2.7134778
55,Jordan,60.667377
56,Kazakhstan,21.04929
57,Kenya,31.118677
58,Kosovo,24.117756
59,Kyrgyzstan,34.736515
60,Laos,56.50934
61,Latvia,8.102485
62,Lebanon,33.557354
63,Lithuania,8.994
64,Low-income countries,36.88069
65,Lower-middle-income countries,34.85157
66,Malaysia,14.158347
67,Mali,36.223072
68,Malta,15.609123
69,Mauritius,37.353085
70,Mexico,19.028091
71,Moldova,15.799915
72,Mongolia,17.31226
73,Montenegro,13.393899
74,Morocco,55.639908
75,Myanmar,19.16524
76,Namibia,13.242371
77,Nepal,31.990816
78,Netherlands,19.575184
79,New Zealand,7.616393
80,Nicaragua,26.092758
81,Nigeria,11.506056
82,North America,10.888448
83,North Macedonia,19.263893
84,Norway,9.8570595
85,Oceania,7.2630644
86,Paraguay,18.502247
87,Peru,25.913599
88,Philippines,28.208256
89,Poland,17.411058
90,Portugal,24.664425
91,Romania,19.265442
92,Russia,9.941295
93,Saudi Arabia,49.74626
94,Senegal,23.88905
95,Serbia,21.168327
96,Slovakia,24.664183
97,Slovenia,16.971712
98,South Africa,21.583582
99,South America,25.215714
100,South Korea,9.0005245
101,Spain,22.522491
102,Sri Lanka,28.208971
103,Sweden,15.146934
104,Switzerland,34.36771
105,Taiwan,9.367289
106,Tanzania,34.58113
107,Thailand,31.828373
108,Tunisia,46.760735
109,Turkey,13.326519
110,Uganda,25.087318
111,Ukraine,11.792821
112,United Arab Emirates,39.16091
113,United Kingdom,8.396421
114,United States,7.2477846
115,Upper-middle-income countries,15.149798
116,Uruguay,21.92993
117,Uzbekistan,50.216694
118,Venezuela,19.484858
119,Vietnam,28.22067
120,World,23.61903
121,Zambia,31.303564
122,Zimbabwe,45.67105
